,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Castro,BR,1583944031,-24.79,-50.01,81.01,34,0,3.36
1,Hobart,AU,1583943914,-42.88,147.33,55.99,82,0,5.82
2,Butaritari,KI,1583944046,3.07,172.79,83.66,79,100,16.8
3,Esperance,AU,1583944252,-33.87,121.9,62.6,77,30,9.17
4,Hermanus,ZA,1583944042,-34.42,19.23,80.01,73,100,14.0
5,New Norfolk,AU,1583944173,-42.78,147.06,55.99,82,0,5.82
6,Pevek,RU,1583944066,69.7,170.31,-14.01,93,100,3.29
7,Geraldton,AU,1583944253,-28.77,114.6,73.4,83,40,10.29
8,Dikson,RU,1583944060,73.51,80.55,10.62,93,100,28.52
9,Cape Town,ZA,1583944052,-33.93,18.42,80.01,64,81,10.29
10,Narsaq,GL,1583944236,60.92,-46.05,30.2,39,20,3.36
11,Biak,ID,1583944254,-0.91,122.88,82.26,74,0,5.3
12,Yellowknife,CA,1583943989,62.46,-114.35,-2.99,70,40,13.87
13,Russell,US,1583944239,32.35,-85.2,71.01,93,90,6.64
14,Rikitea,PF,1583943985,-23.12,-134.97,77.22,82,23,15.73
15,Ancud,CL,1583944254,-41.87,-73.82,60.8,82,75,10.29
16,Nikolskoye,RU,1583944208,59.7,30.79,42.8,81,90,15.66
17,Jamestown,US,1583943692,42.1,-79.24,39.2,64,75,8.05
18,Ushuaia,AR,1583943947,-54.8,-68.3,46.4,81,90,6.93
19,San Cristobal,VE,1583944043,7.77,-72.22,77.0,88,75,3.36
20,Olafsvik,IS,1583944255,64.89,-23.71,30.2,77,100,43.22
21,Severo-Yeniseyskiy,RU,1583944255,60.37,93.04,21.11,89,100,14.45
22,East London,ZA,1583943949,-33.02,27.91,69.8,100,75,8.05
23,Lebu,CL,1583944117,-37.62,-73.65,71.78,50,61,5.23
24,Bengkulu,ID,1583944194,-3.8,102.27,76.75,92,91,4.56
25,Saint-Philippe,RE,1583944041,-21.36,55.77,80.6,88,20,21.92
26,Grindavik,IS,1583944256,63.84,-22.43,32.0,70,75,29.97
27,Gerāsh,IR,1583944256,27.67,54.14,66.2,20,0,6.93
28,Albany,US,1583943979,42.6,-73.97,45.0,36,90,9.17
29,Sinnamary,GF,1583944257,5.38,-52.95,79.38,69,34,11.27
30,Severo-Kuril'sk,RU,1583944257,50.68,156.12,33.13,98,100,18.45
31,Tiksi,RU,1583943845,71.69,128.87,-26.0,83,0,9.48
32,Hong Kong,HK,1583944212,22.29,114.16,68.0,77,40,29.97
33,Tuatapere,NZ,1583944258,-46.13,167.68,50.0,81,26,1.99
34,Genhe,CN,1583944258,50.78,121.52,-1.23,91,83,8.7
35,Mataura,NZ,1583944122,-46.19,168.86,38.44,97,72,1.9
36,Yangambi,CD,1583944258,0.81,24.43,78.06,74,26,2.59
37,Los Llanos de Aridane,ES,1583944258,28.66,-17.92,69.8,73,20,9.17
38,Gonder,ET,1583944258,12.6,37.47,68.02,15,28,9.98
39,Port Alfred,ZA,1583944111,-33.59,26.89,70.0,95,100,5.01
40,Tasiilaq,GL,1583944259,65.61,-37.64,17.6,48,20,2.24
41,Kampot,KH,1583944259,10.62,104.18,80.6,88,20,2.24
42,Nizhniy Baskunchak,RU,1583944259,48.22,46.83,51.62,61,0,12.57
43,Bathsheba,BB,1583943988,13.22,-59.52,84.2,58,20,17.22
44,Tuktoyaktuk,CA,1583944059,69.45,-133.04,-20.2,75,90,12.75
45,Bethel,US,1583944079,41.37,-73.41,51.8,36,1,9.17
46,Kapaa,US,1583944042,22.08,-159.32,66.2,82,1,4.7
47,Lichinga,MZ,1583944260,-13.31,35.24,72.3,87,85,3.18
48,Lata,PT,1583944260,40.16,-8.33,80.01,68,91,6.93
49,San Patricio,MX,1583944036,19.22,-104.7,84.2,74,40,6.93
50,Price,US,1583944261,39.6,-110.81,44.01,80,20,3.36
51,Andenes,NO,1583944220,69.31,16.12,32.0,77,75,10.29
52,Alirajpur,IN,1583944261,22.3,74.35,66.04,63,0,12.46
53,Kavaratti,IN,1583944261,10.57,72.64,82.9,66,46,5.53
54,Te Anau,NZ,1583944262,-45.42,167.72,44.29,89,47,1.83
55,Mīzan Teferī,ET,1583944262,6.98,35.58,69.58,75,85,4.09
56,Chui,UY,1583944110,-33.7,-53.46,77.61,61,36,10.22
57,Chokurdakh,RU,1583944153,70.63,147.92,-29.65,94,9,5.95
58,Busselton,AU,1583943986,-33.65,115.33,66.99,44,68,15.41
59,Manzhouli,CN,1583944262,49.6,117.43,1.53,73,0,12.91
60,Chapais,CA,1583944263,49.78,-74.85,5.0,60,90,5.82
61,Thompson,CA,1583944157,55.74,-97.86,10.4,60,75,5.82
62,Barrow,US,1583944069,71.29,-156.79,-41.8,94,1,8.05
63,Vestmannaeyjar,IS,1583944263,63.44,-20.27,41.0,52,40,3.36
64,Egvekinot,RU,1583944133,66.32,-179.17,-16.31,84,65,1.1
65,Guider,CM,1583944263,9.93,13.95,102.2,8,32,12.75
66,Saku,JP,1583944264,36.22,138.48,41.0,99,0,2.66
67,Kaputa,ZM,1583944264,-8.47,29.66,66.7,90,100,1.9
68,Nanortalik,GL,1583944144,60.14,-45.24,28.89,72,24,1.7
69,Caluquembe,AO,1583944264,-13.78,14.68,63.82,93,100,4.54
70,Puerto Ayora,EC,1583944105,-0.74,-90.35,82.4,74,20,10.29
71,Hasaki,JP,1583944096,35.73,140.83,48.2,68,20,8.05
72,Praia,CV,1583944066,14.92,-23.51,91.4,21,0,19.46
73,Sur,OM,1583944265,22.57,59.53,65.23,30,0,4.61
74,Punta Arenas,CL,1583944001,-53.15,-70.92,51.8,100,90,12.75
75,Corn Island,NI,1583944265,12.17,-83.04,80.35,77,0,14.5
76,Cabo San Lucas,MX,1583944097,22.89,-109.91,80.6,42,90,3.36
77,Norman Wells,CA,1583943982,65.28,-126.83,-11.2,63,90,12.75
78,Bluff,NZ,1583944003,-46.6,168.33,44.24,91,66,5.21
79,Yangi Marg`ilon,UZ,1583944008,40.43,71.72,46.4,61,100,2.24
80,Isāgarh,IN,1583944266,24.83,77.88,70.63,35,59,7.16
81,San Rafael,AR,1583944106,-34.62,-68.33,79.57,47,0,5.12
82,Ponta do Sol,PT,1583944266,32.67,-17.1,68.0,68,20,18.34
83,Husavik,IS,1583944267,66.04,-17.34,28.4,100,90,29.97
84,Saurimo,AO,1583944267,-9.66,20.39,78.8,65,75,6.93
85,Keningau,MY,1583944267,5.34,116.16,80.6,94,20,4.88
86,Iqaluit,CA,1583944007,63.75,-68.51,-11.0,63,20,12.75
87,Qaanaaq,GL,1583944032,77.48,-69.36,-23.06,59,0,7.63
88,Margate,GB,1583944268,51.38,1.39,57.0,66,20,25.28
89,Cherskiy,RU,1583944207,68.75,161.3,-13.7,100,98,2.08
90,George Town,MY,1583944154,5.41,100.34,84.2,79,20,3.36
91,Lüderitz,NA,1583944115,-26.65,15.16,77.0,53,0,19.46
92,Rørvik,NO,1583944268,64.86,11.24,42.8,87,75,23.04
93,Atuona,PF,1583944030,-9.8,-139.03,82.63,74,0,13.96
94,Aswān,EG,1583943993,24.09,32.91,97.02,12,100,2.46
95,Doliana,GR,1583944269,39.9,20.58,62.6,47,69,6.93
96,Guerrero Negro,MX,1583944269,27.98,-114.06,71.82,67,100,5.03
97,Nome,US,1583944235,64.5,-165.41,3.2,77,90,1.99
98,Khasan,RU,1583944269,42.43,130.64,27.34,72,0,3.09
99,Mezen',RU,1583944270,65.85,44.24,33.19,98,100,7.58
100,Dubbo,AU,1583944030,-32.25,148.62,62.6,72,0,12.75
101,Quzhou,CN,1583944270,28.96,118.87,53.01,76,100,3.94
102,Vostok,RU,1583944270,46.49,135.88,9.7,96,56,5.1
103,Codrington,AU,1583944005,-38.27,141.97,68.94,62,67,14.76
104,Khatanga,RU,1583943845,71.97,102.5,5.31,94,100,14.45
105,Arrondissement de Bergerac,FR,1583944271,44.83,0.5,55.99,76,90,2.24
106,Kupang,ID,1583944050,-10.17,123.58,78.8,100,75,2.24
107,Muaná,BR,1583944271,-1.53,-49.22,81.7,87,52,6.51
108,Kibuye,RW,1583944271,-2.06,29.35,68.0,88,75,9.17
109,Laguna,US,1583944268,38.42,-121.42,61.0,81,1,4.61
110,Vardø,NO,1583944095,70.37,31.11,28.4,74,75,25.28
111,Viedma,AR,1583944272,-40.81,-63.0,90.39,25,37,13.38
112,Honningsvåg,NO,1583944198,70.98,25.97,24.8,85,90,21.92
113,Kleive,NO,1583944272,62.8,7.64,44.6,56,20,10.29
114,Mackay,AU,1583944250,-21.15,149.2,78.8,78,90,27.51
115,Meiktila,MM,1583944272,20.87,95.87,74.62,30,17,8.37
116,Cayenne,GF,1583944204,4.93,-52.33,86.0,58,75,11.41
117,Mahébourg,MU,1583944200,-20.41,57.7,81.0,88,75,7.47
118,Uyemskiy,RU,1583944273,64.47,40.85,35.6,93,75,6.71
119,Lagoa,PT,1583944273,39.05,-27.98,56.26,77,100,17.29
120,Fairbanks,US,1583944273,64.84,-147.72,-14.01,66,1,1.5
121,Carnarvon,AU,1583944145,-24.87,113.63,78.8,88,0,14.99
122,Birao,CF,1583944273,10.28,22.79,91.44,14,57,8.05
123,Avera,US,1583944274,33.19,-82.53,73.4,72,40,6.93
124,Panzhihua,CN,1583944274,26.59,101.71,50.34,50,0,2.21
125,North Bend,US,1583944237,43.41,-124.22,46.0,87,1,4.7
126,Mbala,ZM,1583944274,-8.84,31.37,63.59,96,100,2.71
127,Ţaga,RO,1583944274,46.95,24.05,50.0,66,90,6.93
128,Rabo de Peixe,PT,1583944275,37.8,-25.58,60.8,87,75,11.41
129,Avarua,CK,1583944151,-21.21,-159.78,77.0,83,0,4.7
130,Chitral,PK,1583944275,35.85,71.79,18.39,44,99,6.87
131,Kruisfontein,ZA,1583944215,-34.0,24.73,66.92,85,97,22.64
132,Dwārka,IN,1583944275,22.24,68.97,71.78,62,0,19.69
133,Švenčionėliai,LT,1583944276,55.17,26.0,39.09,76,59,14.16
134,Zuwārah,LY,1583944276,32.93,12.08,59.04,69,5,11.77
135,Hilo,US,1583944094,19.73,-155.09,64.4,88,1,4.7
136,Constitución,CL,1583944040,-35.33,-72.42,71.74,53,100,7.92
137,Hithadhoo,MV,1583944068,-0.6,73.08,83.95,69,35,5.46
138,Vila Velha,BR,1583944277,-20.33,-40.29,82.4,61,40,17.22
139,Rawson,AR,1583944277,-43.3,-65.1,72.16,51,0,8.3
140,Ballina,AU,1583944277,-28.87,153.57,64.4,93,40,1.12
141,Nago,JP,1583944277,26.59,127.98,60.8,81,20,5.82
142,Port Hedland,AU,1583944037,-20.32,118.57,82.4,94,100,4.7
143,Progreso,MX,1583944278,21.28,-89.67,82.99,61,75,11.41
144,Quryq,KZ,1583944278,43.2,51.65,50.72,73,27,14.9
145,Yerbogachën,RU,1583944183,61.28,108.01,-7.28,92,60,10.45
146,Ylivieska,FI,1583944278,64.08,24.55,36.0,90,100,3.0
147,Sitka,US,1583944278,57.05,-135.33,30.2,92,90,8.05
148,Mala,PE,1583944279,-12.66,-76.63,76.84,55,0,9.71
149,Mandalgovi,MN,1583944279,45.76,106.27,6.1,81,57,11.21
150,São João da Barra,BR,1583944279,-21.64,-41.05,84.2,51,40,9.17
151,Kieta,PG,1583944055,-6.22,155.63,81.66,82,100,12.48
152,Zhigansk,RU,1583944017,66.77,123.37,-26.14,93,0,9.69
153,Cacoal,BR,1583944041,-11.44,-61.45,82.2,86,97,3.15
154,Cidreira,BR,1583944279,-30.18,-50.21,75.47,82,0,13.49
155,Kolokani,ML,1583944280,13.57,-8.03,94.24,5,100,6.96
156,Upernavik,GL,1583944192,72.79,-56.15,-22.36,90,26,7.23
157,Setermoen,NO,1583944281,68.86,18.35,28.4,58,75,6.93
158,Sheridan,US,1583944281,44.83,-106.92,53.6,25,1,14.99
159,Dunedin,NZ,1583944159,-45.87,170.5,50.0,77,30,7.11
160,Tairua,NZ,1583944048,-37.02,175.85,62.01,75,0,1.01
161,Meulaboh,ID,1583944281,4.14,96.13,84.15,70,100,5.84
162,Anadyr,RU,1583944067,64.75,177.48,-16.01,75,40,8.95
163,Yate,GB,1583944270,51.54,-2.42,57.2,71,90,13.87
164,Souillac,MU,1583944052,-20.52,57.52,81.0,88,75,7.47
165,Coruripe,BR,1583944282,-10.13,-36.18,83.73,73,16,15.17
166,Ambon City,ID,1583944275,-3.7,128.18,77.0,88,20,8.05
167,El Castillo,MX,1583944282,19.53,-96.85,68.76,49,6,6.69
168,Sambava,MG,1583944283,-14.27,50.17,74.17,93,76,3.0
169,Esil,KZ,1583944283,51.96,66.4,31.55,95,100,9.26
170,Tura,IN,1583944283,25.52,90.22,70.25,43,0,3.22
171,Kattivākkam,IN,1583944283,13.22,80.32,82.4,69,20,9.17
172,Lárdos,GR,1583944284,36.09,28.02,60.8,77,20,3.36
173,Thinadhoo,MV,1583944244,0.53,72.93,83.59,72,51,10.6
174,Comodoro Rivadavia,AR,1583944251,-45.87,-67.5,77.0,33,20,19.46
175,Krasnosel'kup,RU,1583944284,65.7,82.47,29.77,89,100,21.83
176,Acajutla,SV,1583944254,13.59,-89.83,82.99,34,0,12.75
177,Gizo Government Station,SB,1583944284,-8.1,156.84,77.11,86,100,4.88
178,Galesong,ID,1583944285,-5.32,119.37,78.8,100,20,3.36
179,Fomboni,KM,1583944285,-12.28,43.74,85.91,72,51,6.44
180,Gamba,GA,1583944285,-2.65,10.0,78.96,84,100,3.22
181,Palekastro,GR,1583944285,35.2,26.25,59.0,68,83,8.99
182,Pochutla,MX,1583944285,15.74,-96.47,90.0,58,5,11.12
183,Lakhtinskiy,RU,1583944286,59.99,30.16,41.0,86,90,13.42
184,Ventspils,LV,1583944286,57.39,21.56,41.0,93,90,20.8
185,Ribeira Grande,PT,1583944161,38.52,-28.7,59.0,62,75,18.34
186,Saskylakh,RU,1583944076,71.92,114.08,-8.52,85,100,20.58
187,Otradnoye,RU,1583944287,59.78,30.82,41.0,86,90,13.42
188,Apatity,RU,1583944287,67.56,33.4,19.42,94,96,3.85
189,Bredasdorp,ZA,1583944013,-34.53,20.04,73.0,60,87,20.8
190,Vallenar,CL,1583944026,-28.57,-70.76,76.06,38,0,8.7
191,Mandera,KE,1583944287,3.94,41.87,92.12,24,54,11.65
192,Hambantota,LK,1583944288,6.12,81.12,78.8,94,20,4.7
193,Dhidhdhoo,MV,1583944288,6.88,73.1,83.12,69,63,4.03
194,Ust'-Koksa,RU,1583944288,50.27,85.61,3.29,63,0,4.59
195,Kedrovyy,RU,1583944288,56.17,91.82,28.4,50,100,13.42
196,Pangnirtung,CA,1583944288,66.15,-65.71,-16.6,68,5,2.24
197,Mayumba,GA,1583944289,-3.43,10.66,81.84,82,100,10.6
198,Port Hardy,CA,1583944222,50.7,-127.42,33.8,100,40,4.7
199,Pitimbu,BR,1583944289,-7.47,-34.81,87.8,66,75,11.41
200,Ambulu,ID,1583944289,-8.35,113.61,80.42,80,89,7.07
201,Alta,NO,1583944051,69.97,23.27,23.0,73,75,17.22
202,Vaini,TO,1583943990,-21.2,-175.2,77.0,100,90,4.7
203,Leningradskiy,RU,1583944145,69.38,178.42,-17.16,81,0,4.7
204,Faanui,PF,1583944142,-16.48,-151.75,81.27,73,81,7.85
205,Kaitangata,NZ,1583944290,-46.28,169.85,48.0,77,48,1.01
206,Portland,US,1583943777,45.52,-122.68,44.6,75,90,4.7
207,Hazorasp,UZ,1583944291,41.32,61.07,53.6,27,0,4.7
208,Itarema,BR,1583944291,-2.92,-39.92,84.42,75,56,6.33
209,Coquimbo,CL,1583944291,-29.95,-71.34,68.0,68,40,12.75
210,Lompoc,US,1583944123,34.64,-120.46,55.99,93,90,4.47
211,Marsh Harbour,BS,1583944291,26.54,-77.06,72.45,75,13,16.13
212,Piranshahr,IR,1583944291,36.7,45.14,34.65,66,33,3.8
213,Port Moresby,PG,1583944292,-9.44,147.18,77.0,94,40,17.22
214,Katherine,AU,1583944292,-14.47,132.27,71.6,88,100,4.7
215,Fort Nelson,CA,1583944145,58.81,-122.7,10.4,85,75,4.7
216,Benghazi,LY,1583944292,32.12,20.07,59.4,69,68,18.66
217,Mumford,GH,1583944292,5.26,-0.76,84.04,72,44,10.13
218,Pindi Bhattian,PK,1583944293,31.9,73.27,56.73,90,99,18.66
219,Yuancheng,CN,1583944293,36.65,107.79,39.65,26,14,11.41
220,Dryden,CA,1583944293,49.78,-92.75,23.0,67,1,9.17
221,Cabedelo,BR,1583944293,-6.98,-34.83,87.8,66,75,11.41
222,Sorong,ID,1583944293,-0.88,131.25,71.92,96,13,2.19
223,Vao,NC,1583944294,-22.67,167.48,79.7,74,92,8.52
224,Anklam,DE,1583944294,53.86,13.69,51.01,53,18,14.99
225,Owando,CG,1583944294,-0.48,15.9,80.29,72,64,2.57
226,Port Elizabeth,ZA,1583944065,-33.92,25.57,71.6,83,75,14.99
227,Ketchikan,US,1583944216,55.34,-131.65,35.6,80,75,8.05
228,Diffa,NE,1583944294,13.32,12.61,87.87,7,13,13.82
229,Taltal,CL,1583944295,-25.4,-70.48,68.5,65,14,6.76
230,Waddān,LY,1583944295,29.16,16.14,62.38,36,91,14.29
231,Bandarbeyla,SO,1583944295,9.49,50.81,79.16,68,10,20.78
232,Serenje,ZM,1583944295,-13.23,30.24,66.27,97,80,6.2
233,Złocieniec,PL,1583944295,53.53,16.01,46.0,65,59,4.0
234,Ürümqi,CN,1583944296,43.8,87.6,32.0,69,18,2.24
235,Waingapu,ID,1583944296,-9.66,120.26,84.81,76,100,13.02
236,Atar,MR,1583944296,20.52,-13.05,95.0,17,0,2.24
237,Caravelas,BR,1583944296,-17.71,-39.25,80.06,68,100,6.42
238,Ola,RU,1583944296,59.58,151.28,12.22,91,100,18.9
239,Beira,MZ,1583944296,-19.84,34.84,81.45,83,11,13.33
240,Myitkyina,MM,1583944297,25.38,97.4,65.3,52,0,4.0
241,Teahupoo,PF,1583944297,-17.83,-149.27,77.0,88,75,3.36
242,Sokolo,ML,1583944297,14.73,-6.12,92.62,3,100,9.04
243,Talnakh,RU,1583944263,69.49,88.4,24.8,100,75,26.84
244,Abhā,SA,1583944089,18.22,42.51,68.0,77,0,11.41
245,Broome,US,1583944256,42.25,-75.83,39.99,55,1,4.7
246,Preobrazheniye,RU,1583944298,42.9,133.91,21.94,75,4,5.57
247,Valparaíso,CL,1583944099,-33.04,-71.63,66.2,82,75,6.93
248,Diego de Almagro,CL,1583944298,-26.37,-70.05,86.13,17,66,14.52
249,Paraná,AR,1583944298,-31.73,-60.52,96.01,39,78,5.99
250,Griffith,US,1583944205,41.53,-87.42,42.01,100,90,5.82
251,Kenai,US,1583944298,60.55,-151.26,3.0,75,1,7.65
252,Fochville,ZA,1583944299,-26.49,27.49,69.39,50,33,1.45
253,Salalah,OM,1583944299,17.02,54.09,78.8,54,0,2.24
254,La Santisima Trinidad,BO,1583944274,-14.83,-64.9,89.6,70,40,6.93
255,Jalu,LY,1583944299,29.03,21.55,65.68,33,83,15.3
256,Roald,NO,1583944299,62.58,6.13,44.6,75,40,9.17
257,Yulara,AU,1583944101,-25.24,130.99,80.6,36,40,1.12
258,Kiryat Gat,IL,1583944300,31.61,34.76,69.8,60,75,5.82
259,Bose,IT,1583944300,45.46,8.01,71.01,30,0,2.24
260,Sioux Lookout,CA,1583944300,50.1,-91.92,24.8,62,75,6.93
261,Takapau,NZ,1583944300,-40.03,176.35,44.01,76,0,4.61
262,Oxford,GB,1583944268,51.75,-1.26,57.2,58,40,18.34
263,Airai,TL,1583944061,-8.93,125.41,67.91,92,98,3.4
264,Rameswaram,IN,1583944301,9.28,79.3,81.36,75,12,18.43
265,Bethanien,NA,1583944301,-26.5,17.16,79.72,15,100,12.8
266,Palana,RU,1583944301,59.12,159.97,26.58,85,100,18.25
267,Koungheul,SN,1583944302,13.98,-14.8,103.37,6,0,5.95
268,Borovoy,RU,1583944302,55.43,86.08,17.6,67,42,11.18
269,Klaksvík,FO,1583944204,62.23,-6.59,33.8,69,100,10.8
270,Padang,ID,1583944033,-0.95,100.35,71.83,97,78,2.15
271,Dutlwe,BW,1583944302,-23.98,23.9,80.89,29,89,5.44
272,Okato,NZ,1583944303,-39.2,173.88,44.01,92,0,15.95
273,Arrondissement de Cholet,FR,1583944303,47.17,-1.0,60.01,67,75,18.34
274,Valréas,FR,1583944303,44.38,4.99,71.6,46,0,14.99
275,Tevaitoa,PF,1583944303,-16.78,-151.5,82.49,70,96,9.28
276,Tatarsk,RU,1583944266,55.22,75.98,22.73,95,18,11.39
277,Straumen,NO,1583944303,63.87,11.3,44.6,52,75,17.22
278,Petropavlovsk-Kamchatskiy,RU,1583944029,53.05,158.65,39.2,86,90,15.66
279,Mashhad,IR,1583944304,36.3,59.61,46.4,28,0,11.41
280,Den Helder,NL,1583944006,52.96,4.76,54.0,87,90,25.28
281,Port Lincoln,AU,1583944304,-34.73,135.87,76.8,38,98,8.99
282,Beloha,MG,1583944166,-25.17,45.05,81.93,59,0,15.3
