,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
283,Opotiki,NZ,1583944305,-38.08,177.28,53.01,97,66,1.01
284,Muna,MX,1583944305,20.48,-89.72,82.99,61,75,11.41
285,Frankfort,ZA,1583944305,-27.27,28.48,65.55,58,83,7.16
286,Bilma,NE,1583944049,18.69,12.92,78.75,9,31,21.88
287,Mar del Plata,AR,1583944210,-38.0,-57.56,73.99,77,90,12.75
288,Isangel,VU,1583944306,-19.55,169.27,77.0,94,20,8.88
289,Severodvinsk,RU,1583944306,64.56,39.83,35.6,93,75,6.71
290,Camopi,GF,1583944306,3.17,-52.32,94.75,30,1,4.97
291,Guasdualito,VE,1583944306,7.24,-70.73,93.2,41,47,4.7
292,Ardrishaig,GB,1583944307,56.02,-5.45,44.6,81,75,13.87
293,Coyhaique,CL,1583944307,-45.58,-72.07,62.6,55,40,5.82
294,Khani,GE,1583944307,41.96,42.96,55.4,76,75,10.29
295,Katsuura,JP,1583944307,35.13,140.3,50.0,43,20,19.46
296,Luena,AO,1583944308,-11.78,19.92,65.07,96,66,2.77
297,Beringovskiy,RU,1583944038,63.05,179.32,-4.7,95,27,7.38
298,Leh,IN,1583944308,34.17,77.58,16.93,39,99,2.35
299,Port-Cartier,CA,1583944308,50.03,-66.87,15.8,66,75,8.05
300,Kulu,TR,1583944309,39.1,33.08,48.92,48,100,0.38
301,Poum,NC,1583944309,-20.23,164.02,82.33,82,25,14.38
302,Tomatlán,MX,1583944309,19.93,-105.25,96.78,19,49,5.77
303,Baykit,RU,1583944309,61.67,96.37,17.17,95,100,7.67
304,Tucupita,VE,1583944309,9.06,-62.05,94.39,34,0,5.84
305,Arica,CL,1583944120,-18.48,-70.3,77.0,61,1,11.41
306,Muriti,TZ,1583944310,-1.98,32.92,78.8,74,40,5.82
307,Lázaro Cárdenas,MX,1583944310,17.96,-102.2,86.25,51,0,7.11
308,Havre-St-Pierre,CA,1583944310,50.23,-63.6,17.6,67,90,8.05
309,Feldkirchen an der Donau,AT,1583944311,48.35,14.05,60.01,67,75,11.41
310,Rāhon,IN,1583944311,31.05,76.12,57.18,96,100,9.84
311,Río Gallegos,AR,1583944311,-51.62,-69.22,53.6,93,90,8.05
312,Fortuna,US,1583944199,40.6,-124.16,46.4,93,90,1.72
313,Neuquén,AR,1583944311,-38.95,-68.06,80.6,30,51,14.99
314,Kinkala,CG,1583944311,-4.36,14.76,89.6,62,40,6.93
315,Khāsh,IR,1583944312,28.22,61.22,49.64,21,0,11.18
316,Rio Grande,BR,1583944277,-32.03,-52.1,84.2,66,75,14.99
317,Homer,US,1583944178,59.64,-151.55,19.4,54,1,9.08
318,Jiménez,MX,1583944312,28.33,-105.4,64.4,42,75,5.41
319,Warwick,US,1583944101,41.7,-71.42,55.4,32,75,4.7
320,San Andrés,CO,1583944264,12.58,-81.7,84.2,70,40,13.87
321,Alofi,NU,1583944162,-19.06,-169.92,75.2,100,98,6.93
322,Tabuk,PH,1583944313,17.42,121.44,70.09,95,14,3.31
323,Pisco,PE,1583944060,-13.7,-76.22,79.0,30,0,5.82
324,Biarritz,FR,1583944313,43.48,-1.56,68.0,56,20,10.29
325,Jiuquan,CN,1583944313,39.74,98.52,25.23,46,100,7.0
326,Inhambane,MZ,1583944313,-23.86,35.38,78.44,77,0,10.94
327,Letlhakane,BW,1583944314,-21.42,25.58,80.01,31,77,4.36
328,Whitehorse,CA,1583944307,60.72,-135.05,0.0,70,40,9.17
329,Belaya Gora,RU,1583944263,68.53,146.42,-30.89,100,0,2.26
330,Markova,UA,1583944292,48.68,24.41,51.8,57,44,8.95
331,Brae,GB,1583944314,60.4,-1.35,41.0,65,40,35.57
332,Clyde River,CA,1583944027,70.47,-68.59,-14.8,68,75,6.93
333,Lukovetskiy,RU,1583944188,64.3,41.92,35.6,93,75,4.47
334,Inta,RU,1583944315,66.03,60.17,26.44,97,100,7.78
335,Torbay,CA,1583944051,47.67,-52.73,39.99,93,90,12.75
336,Manta,EC,1583944199,-0.95,-80.73,82.4,78,75,2.24
337,Dvinskoy,RU,1583944315,62.15,45.12,34.02,99,100,4.38
338,Adrar,MR,1583944315,20.5,-10.07,82.72,5,0,5.91
339,Bambous Virieux,MU,1583943999,-20.34,57.76,81.0,88,75,8.37
340,Kjøllefjord,NO,1583944316,70.95,27.35,24.8,85,40,19.46
341,Tautira,PF,1583944048,-17.73,-149.15,77.0,88,75,3.36
342,Sirte,LY,1583944316,31.21,16.59,58.21,64,0,13.24
343,Baijiantan,CN,1583944316,45.63,85.18,28.6,56,0,11.63
344,Deputatsky,RU,1583944232,69.3,139.9,-27.6,83,0,2.08
345,Port Blair,IN,1583944179,11.67,92.75,80.56,62,0,1.1
346,Mount Isa,AU,1583944317,-20.73,139.5,82.4,54,40,6.93
347,Basoko,CD,1583944317,1.24,23.62,79.81,70,38,2.37
348,Xai-Xai,MZ,1583944317,-25.05,33.64,75.04,82,0,5.95
349,Malé,MV,1583944317,4.17,73.51,84.2,74,75,5.82
350,Verkhnyaya Inta,RU,1583944317,65.98,60.31,25.36,96,99,8.28
351,Natal,BR,1583944317,-5.79,-35.21,89.6,59,40,10.29
352,Aksarayskiy,RU,1583944318,46.79,48.01,42.8,75,0,4.47
353,Yakeshi,CN,1583944318,49.28,120.73,7.61,79,97,18.75
354,Muroto-misakicho,JP,1583944219,33.28,134.15,36.75,74,0,6.31
355,Honiara,SB,1583944318,-9.43,159.95,77.0,100,90,4.7
356,Prince Rupert,CA,1583944319,54.32,-130.32,33.8,68,90,3.36
357,Oranjemund,NA,1583944319,-28.55,16.43,65.52,76,36,6.67
358,Hanting,CN,1583944319,36.77,119.21,50.34,58,40,10.87
359,Gariāband,IN,1583944319,20.64,82.06,74.64,61,5,3.44
360,Krasnoarmeysk,RU,1583944319,51.02,45.7,48.0,64,56,5.99
361,São Filipe,CV,1583944078,14.9,-24.5,75.67,61,0,14.7
362,Phalaborwa,ZA,1583944320,-23.94,31.14,81.1,49,0,7.05
363,Longyearbyen,SJ,1583944174,78.22,15.64,-16.6,56,20,9.17
364,Ustka,PL,1583944320,54.58,16.86,41.59,74,0,14.72
365,Lynge,DK,1583944320,55.84,12.28,48.99,61,39,16.11
366,Carpina,BR,1583944321,-7.85,-35.25,86.0,70,40,11.41
367,Río Cuarto,AR,1583944044,-33.13,-64.35,75.2,78,90,26.4
368,Nishihara,JP,1583944026,26.18,127.76,60.8,55,20,5.82
369,Imbituba,BR,1583944255,-28.24,-48.67,86.0,55,0,11.41
370,Quthing,LS,1583944321,-30.4,27.7,59.4,85,100,10.29
371,Wuwei,CN,1583944321,37.93,102.64,31.64,31,46,3.36
372,Sola,VU,1583944322,-13.88,167.55,78.8,100,75,11.45
373,Kavieng,PG,1583944116,-2.57,150.8,84.09,72,93,8.88
374,Barstow,US,1583944322,34.9,-117.02,55.4,87,90,1.34
375,Agirish,RU,1583944047,61.92,63.02,33.4,90,100,6.91
376,Tsogni,GA,1583944323,-2.79,10.1,81.52,76,100,6.91
377,Kaeo,NZ,1583944323,-35.1,173.78,57.0,93,8,4.0
378,Necochea,AR,1583944143,-38.55,-58.74,77.0,79,98,21.0
379,Alice Springs,AU,1583943962,-23.7,133.88,78.8,47,0,4.7
380,Port Macquarie,AU,1583944324,-31.43,152.92,62.6,93,75,4.7
381,Erechim,BR,1583944324,-27.63,-52.27,87.8,40,0,2.53
382,Sainte-Maxime,FR,1583944325,43.3,6.63,64.4,63,0,10.29
383,Ostrovnoy,RU,1583944325,68.05,39.51,23.85,94,96,12.41
384,Karaton,ID,1583944325,-6.34,106.1,77.0,88,40,3.36
385,Gwadar,PK,1583944199,25.12,62.33,72.97,48,0,22.77
386,Kutum,SD,1583944325,14.2,24.67,83.34,13,20,13.4
387,Warkworth,NZ,1583944325,-36.4,174.67,61.0,93,0,4.7
388,Talas,TR,1583944326,38.69,35.55,59.0,26,93,1.12
389,Kirakira,SB,1583944023,-10.45,161.92,78.85,86,100,8.88
390,Pontes e Lacerda,BR,1583944326,-15.23,-59.34,96.04,39,42,2.71
391,Lorengau,PG,1583944010,-2.02,147.27,83.66,73,30,13.82
392,Hastings,GB,1583944326,50.86,0.57,55.0,93,75,20.8
393,Nantucket,US,1583944326,41.28,-70.1,51.01,77,1,14.99
394,Emba,KZ,1583944327,48.83,58.14,31.26,78,32,8.25
395,Okha,RU,1583944323,53.57,142.95,10.85,85,100,27.0
396,Calama,CL,1583944118,-22.47,-68.93,69.8,43,40,18.34
397,Tay Ninh,VN,1583944327,11.3,106.1,78.64,65,3,7.29
398,Sosnovo,RU,1583944327,60.55,30.21,41.0,78,100,9.4
399,Kaihua,CN,1583944327,23.37,104.28,54.95,92,67,7.47
400,Yārāda,IN,1583944328,17.65,83.27,80.6,74,20,5.82
401,Ahipara,NZ,1583944328,-35.17,173.17,65.73,73,13,6.69
402,Rovaniemi,FI,1583944328,66.5,25.72,32.0,97,100,4.7
403,Seoul,KR,1583944293,37.57,126.98,33.8,80,1,2.24
404,Povenets,RU,1583944329,62.85,34.83,33.64,98,100,5.39
405,Placerville,US,1583944329,38.73,-120.8,62.01,54,0,5.82
406,Kazachinskoye,RU,1583944329,57.7,93.28,23.49,82,100,11.45
407,Tual,ID,1583944329,-5.67,132.75,82.83,81,99,11.41
408,Yashkul',RU,1583944329,46.17,45.34,58.08,58,2,7.61
409,Vila Franca do Campo,PT,1583944330,37.72,-25.43,60.8,87,75,11.41
410,Sidi Ali,DZ,1583944330,36.1,0.42,63.18,52,0,2.91
411,São Félix do Xingu,BR,1583944330,-6.64,-51.99,84.11,69,79,3.58
412,Talavera de la Reina,ES,1583944330,39.96,-4.83,64.47,64,100,1.86
413,Constantine,DZ,1583944243,36.37,6.61,62.6,39,0,9.17
414,Parma,IT,1583944330,44.8,10.33,64.4,72,0,5.82
415,Broken Hill,AU,1583944245,-31.95,141.43,71.6,43,17,6.93
416,Senno,RU,1583944331,59.53,33.92,38.68,94,96,8.93
417,São Miguel,BR,1583944331,-5.47,-35.37,89.6,66,75,10.29
418,Yar-Sale,RU,1583944331,66.83,70.83,11.1,87,42,11.21
419,Rapid City,US,1583944331,44.08,-103.23,57.99,26,1,6.93
420,Newport,GB,1583944180,51.59,-3.0,57.0,71,90,13.87
421,Lerwick,GB,1583944104,60.15,-1.15,41.0,91,75,54.13
422,Raton,US,1583944332,36.9,-104.44,59.0,37,1,8.25
423,Paphos,CY,1583944052,34.77,32.42,60.8,72,20,8.05
424,Mormugao,IN,1583944332,15.4,73.8,67.6,90,0,1.79
425,Saint Paul Harbor,US,1583944123,57.79,-152.41,23.0,45,1,3.36
426,Hengyang,CN,1583944332,26.89,112.61,53.46,93,91,2.62
427,Marshall,US,1583944333,34.38,-86.33,66.99,72,90,8.05
428,Kahului,US,1583944333,20.89,-156.47,68.0,82,20,4.7
429,Beidao,CN,1583944333,34.57,105.89,40.93,63,82,2.77
430,Touros,BR,1583944022,-5.2,-35.46,87.8,62,75,11.41
431,Cockburn Town,TC,1583944334,21.46,-71.14,78.8,69,40,9.17
432,El Sauzal de Rodríguez,MX,1583944334,31.9,-116.68,60.01,96,84,4.0
433,Pacific Grove,US,1583944290,36.62,-121.92,57.99,76,1,8.66
434,Ixtapa,MX,1583944334,20.7,-105.2,77.0,61,20,3.36
435,Arraial do Cabo,BR,1583944184,-22.97,-42.03,84.2,58,40,10.29
436,Boyolangu,ID,1583944334,-8.12,111.89,74.25,94,100,2.89
437,Chimbote,PE,1583944184,-9.09,-78.58,82.62,49,0,6.51
438,Plastun,RU,1583944324,44.76,136.29,16.83,84,80,6.85
439,Shimoda,JP,1583944182,34.67,138.95,54.0,58,0,40.69
440,Kitob,UZ,1583944335,39.08,66.83,42.78,70,100,0.47
441,Yāval,IN,1583944336,21.17,75.7,69.6,32,0,5.03
442,Portlethen,GB,1583944336,57.05,-2.13,45.0,56,20,17.22
443,Atbasar,KZ,1583944336,51.8,68.33,30.06,97,100,6.46
444,La Rochelle,FR,1583944336,46.17,-1.15,57.2,93,90,11.41
445,Le Pradet,FR,1583944336,43.11,6.02,66.99,63,0,10.29
446,Ilhabela,BR,1583944336,-23.78,-45.36,78.73,72,0,14.88
447,Kokoda,PG,1583944333,-8.88,147.74,63.14,87,100,1.59
448,Zyuzel'skiy,RU,1583944337,56.49,60.13,42.8,60,100,6.71
449,Saint-Joseph,RE,1583944337,-21.37,55.62,80.6,88,20,21.92
450,Wanning,CN,1583944337,18.8,110.4,73.89,93,28,6.87
451,Damaturu,NG,1583944337,11.75,11.96,90.19,10,88,8.77
452,Wattegama,LK,1583944337,6.8,81.48,78.8,94,20,4.7
453,Haines Junction,CA,1583944252,60.75,-137.51,-6.27,91,83,6.24
454,Rundu,NA,1583944338,-17.93,19.77,73.18,57,44,3.87
455,Alma,CA,1583944197,48.55,-71.65,10.4,55,40,12.75
456,Buraidah,SA,1583944294,26.33,43.98,78.8,24,40,5.82
457,Makakilo City,US,1583944338,21.35,-158.09,73.4,100,1,2.37
458,Asilah,MA,1583944339,35.47,-6.03,73.4,53,53,8.05
459,Popondetta,PG,1583944339,-8.75,148.25,72.99,95,100,2.64
460,Maţāy,EG,1583944339,28.42,30.78,75.65,30,100,15.61
461,Faya,SA,1583944339,18.39,42.45,68.0,77,36,11.41
462,Loa Janan,ID,1583944340,-0.58,117.09,76.6,93,79,2.64
463,Muisne,EC,1583944340,0.6,-80.03,84.2,79,75,8.05
464,Hakkâri Province,TR,1583944340,37.58,44.17,29.86,47,16,3.98
465,Dingle,PH,1583944298,11.0,122.67,72.28,88,61,9.73
466,Ise,JP,1583944340,34.48,136.7,46.4,70,40,26.4
467,Harper,LR,1583944072,4.38,-7.72,87.55,63,100,6.53
468,Zhaotong,CN,1583944341,27.32,103.72,39.36,87,64,5.91
469,Laas,IT,1583944341,46.62,10.7,66.2,39,80,5.82
470,Burnie,AU,1583944259,-41.07,145.92,60.01,89,8,7.0
471,Ilulissat,GL,1583944149,69.22,-51.1,6.8,55,75,5.82
472,Mildura,AU,1583944342,-34.2,142.15,73.4,38,78,10.29
473,Careiro da Várzea,BR,1583944342,-3.2,-59.81,89.6,70,40,6.93
474,Abu Dhabi,AE,1583944178,24.47,54.37,73.99,68,0,9.17
475,Puerto Cabezas,NI,1583944342,14.04,-83.39,78.8,94,40,4.7
476,Sébaco,NI,1583944342,12.85,-86.1,66.2,93,75,9.17
477,Çine,TR,1583944342,37.61,28.06,59.0,72,75,5.82
478,Kamenka,RU,1583944234,51.32,42.77,50.0,87,61,15.01
479,Kargopol',RU,1583944343,61.51,38.95,34.95,96,99,5.26
480,Berlevåg,NO,1583944343,70.86,29.09,24.8,85,90,24.16
481,Iquitos,PE,1583944343,-3.75,-73.25,82.4,78,75,4.7
482,Gainesville,US,1583944295,29.65,-82.32,80.01,41,69,5.82
483,Kwinana,AU,1583944344,-32.25,115.77,71.6,88,36,3.98
484,Flin Flon,CA,1583944238,54.77,-101.86,19.4,73,75,4.7
485,Phuket,TH,1583944205,8.0,98.25,82.4,74,20,3.36
486,Naze,JP,1583944344,28.37,129.48,60.8,55,7,10.29
487,Falmouth,GB,1583944111,50.15,-5.07,55.0,93,75,18.34
488,Vanimo,PG,1583944097,-2.67,141.3,82.15,78,54,14.79
489,Aborlan,PH,1583944181,9.44,118.55,82.4,74,20,11.41
490,Rodrigues Alves,BR,1583944345,-7.74,-72.65,75.2,83,90,16.11
491,Antofagasta,CL,1583944210,-23.65,-70.4,75.2,57,24,6.93
492,Pyapon,MM,1583944345,16.28,95.68,66.69,91,0,7.65
493,Insar,RU,1583944323,53.87,44.37,42.3,84,44,14.18
494,Zelenoborskiy,RU,1583944346,66.84,32.36,21.74,93,95,3.38
495,Malanje,AO,1583944346,-9.54,16.34,78.8,83,75,5.82
496,Saldanha,ZA,1583944113,-33.01,17.94,75.2,57,17,10.29
497,La Ronge,CA,1583944346,55.1,-105.28,23.0,85,75,4.7
498,Nettuno,IT,1583944347,41.48,12.68,64.4,51,0,9.17
499,Banjar,ID,1583944347,-8.19,114.97,83.1,77,32,3.67
500,Bagru,IN,1583944347,26.81,75.54,73.4,43,40,8.05
501,Synya,RU,1583944347,65.37,58.04,30.07,96,100,7.09
502,Boguchany,RU,1583944347,58.38,97.45,20.57,94,100,11.52
503,Maceió,BR,1583944347,-9.67,-35.74,89.6,59,75,18.34
504,Sainte-Martine,CA,1583944348,45.25,-73.8,28.99,45,75,10.29
505,Belle Glade,US,1583944348,26.68,-80.67,80.6,51,40,13.87
506,Talcahuano,CL,1583944349,-36.72,-73.12,62.1,81,99,11.52
507,Las Palmas,ES,1583944349,28.42,-14.01,69.8,77,20,9.17
508,Beipiao,CN,1583944349,41.79,120.78,33.6,47,36,13.11
509,Clarence Town,AU,1583944349,-32.58,151.78,64.0,93,90,1.83
510,Belyy Yar,RU,1583944349,53.6,91.39,21.2,73,53,6.71
511,Bay Roberts,CA,1583944349,47.6,-53.26,39.99,93,90,12.75
512,Ponta Delgada,PT,1583944337,37.73,-25.67,60.8,87,75,11.41
513,Varna,BG,1583944143,43.22,27.92,57.0,71,75,4.7
514,Xunchang,CN,1583944350,28.45,104.72,59.36,59,89,0.94
515,Nabire,ID,1583944326,-3.37,135.48,74.26,96,100,1.52
516,Amasya,TR,1583944350,40.65,35.83,55.4,62,20,13.87
517,Macao,MO,1583944351,22.2,113.55,66.99,77,40,27.51
518,Norrtälje,SE,1583944351,59.76,18.7,43.0,70,75,18.34
519,Sungai Penuh,ID,1583944351,-2.08,101.38,65.01,98,91,2.64
520,Lavrentiya,RU,1583944291,65.58,-171.0,-7.19,98,100,4.97
521,Aksarka,RU,1583944351,66.56,67.8,19.13,83,83,7.4
522,Laramie,US,1583944352,41.31,-105.59,51.8,39,1,36.91
523,Grand Gaube,MU,1583944352,-20.01,57.66,81.0,88,75,9.86
524,Grootfontein,NA,1583944352,-19.57,18.12,72.23,52,66,2.64
525,Atambua,ID,1583944352,-9.11,124.89,76.59,82,94,2.75
526,Bani Walid,LY,1583944352,31.76,13.99,54.25,69,28,15.28
527,Havelock,US,1583944086,34.88,-76.9,73.4,53,40,10.29
528,Djebeniana,TN,1583944353,35.03,10.91,62.6,67,40,10.29
529,Fukuechō,JP,1583944353,32.69,128.84,48.2,52,3,11.41
530,Mae Ramat,TH,1583944353,16.98,98.52,63.45,66,0,1.28
531,Praia da Vitória,PT,1583944353,38.73,-27.07,57.2,82,90,20.15
532,Nianzishan,CN,1583944353,47.52,122.88,15.28,77,52,11.68
533,São Gabriel da Cachoeira,BR,1583944354,-0.13,-67.09,87.8,79,40,5.82
534,Ōtsuki,JP,1583944354,35.6,138.93,54.0,60,1,13.87
535,La Baule-Escoublac,FR,1583944355,47.29,-2.36,57.2,87,90,20.8
536,Ada,US,1583944355,43.42,-116.13,46.99,60,1,4.7
537,Hatillo,PR,1583944355,18.49,-66.83,84.99,71,1,9.17
538,Rajaori,IN,1583944355,33.38,74.3,32.72,90,100,6.26
539,Westport,US,1583944146,41.14,-73.36,52.0,27,1,8.05
540,Chabahar,IR,1583944355,25.29,60.64,69.66,38,0,13.04
541,Dalvik,IS,1583944356,65.97,-18.53,28.4,100,90,29.97
542,Menongue,AO,1583944356,-14.66,17.69,66.97,90,100,2.19
543,Colomi,BO,1583944356,-17.35,-65.87,75.2,33,75,8.05
544,Chikwawa,MW,1583944356,-16.03,34.8,82.4,65,40,5.82
545,Āreka,ET,1583944356,7.07,37.7,75.61,62,66,1.43
546,Bay Saint Louis,US,1583944357,30.31,-89.33,72.0,73,40,6.93
547,Kalyazin,RU,1583944357,57.24,37.84,37.2,97,97,6.11
548,Diré,ML,1583944357,12.28,-10.97,101.37,5,0,4.14
549,Sept-Îles,CA,1583944257,50.2,-66.38,15.8,66,75,8.05
550,Igrim,RU,1583944357,63.19,64.42,31.42,90,100,9.8
551,Opuwo,NA,1583944357,-18.06,13.84,81.32,32,46,6.55
552,Ende,ID,1583944357,-8.84,121.66,83.44,78,85,9.22
553,Champerico,GT,1583944358,14.3,-91.92,87.8,55,20,6.93
554,Visnes,NO,1583944358,59.36,5.22,44.6,87,75,28.86
555,San Borja,BO,1583944358,-14.82,-66.85,98.04,31,0,4.29
556,Saint-Pierre,RE,1583944225,-21.34,55.48,80.6,88,20,21.92
557,Ramnagar,IN,1583944358,29.4,79.12,59.32,83,57,9.95
558,Hamilton,US,1583944207,39.18,-84.53,48.2,93,90,6.46
559,Samaná,DO,1583944359,19.21,-69.34,78.8,83,40,6.93
560,Barcelona,ES,1583944313,41.39,2.16,73.99,82,2,4.7
561,Verkhnevilyuysk,RU,1583944359,63.45,120.32,-26.28,97,0,5.48
562,Mahon,ES,1583944359,39.89,4.27,59.0,87,20,8.05
563,Cabrobó,BR,1583944360,-8.51,-39.31,90.32,44,67,8.63
564,Xining,CN,1583944360,36.62,101.77,26.04,35,100,4.63
565,Copiapó,CL,1583944360,-27.37,-70.33,71.6,60,14,9.17
566,Mount Gambier,AU,1583944338,-37.83,140.77,68.0,64,81,9.17
